TU,Genes,regulator_notes,regulator_genes,Bnb,ECKnb,Promoter
ybdJ,ybdJ,,,b0580,ECK0572,
yhhZ-yrhA-insA6AB6B6,"insB6,insA6,insAB6,yrhA,yhhZ",DNA-binding transcriptional dual regulator Nac,nac,"b3445,b3444,b3443,b3442","ECK0022,ECK0023,ECK3429,ECK3428",
micF,micF,"DNA-binding transcriptional dual regulator OmpR-phosphorylated,DNA-binding transcriptional dual regulator Rob,DNA-binding transcriptional dual regulator HU,DNA-binding transcriptional dual regulator SoxS,DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional repressor AcrR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","ompR,rob,hupA,hupB,soxS,marA,ihfA,ihfB,hns,lrp,acrR,arcA",b4439,ECK2208,micFp2
otsA,otsA,,,b1896,ECK1895,otsAp
symE,symE,DNA-binding transcriptional repressor LexA,lexA,b4347,ECK4337,symEp
aspU,aspU,,,b0206,ECK0206,aspUp
helD,helD,,,b0962,ECK0953,helDp
fldB,fldB,DNA-binding transcriptional dual regulator SoxS,soxS,b2895,ECK2890,fldBp
ydjO,ydjO,,,b1730,ECK1728,
rrsB-gltT-rrlB-rrfB,"rrfB,rrlB,gltT,rrsB","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp-L-leucine","fis,hns,lrp","b3971,b3970,b3969,b3968","ECK3963,ECK3962,ECK3961,ECK3960",rrsBp
ygjV,ygjV,DNA-binding transcriptional repressor PlaR,plaR,b3090,ECK3081,
ybhB,ybhB,,,b0773,ECK0762,
otsBA,"otsA,otsB",,,"b1896,b1897","ECK1895,ECK1896",otsBp1
iraD,"idlP,iraD","DnaA-ATP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator Lrp","dnaA,fnr,lrp","b4722,b4326","ECK4579,ECK4317",idlPp
ftnB,ftnB,"DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator Nac","cpxR,nac",b1902,ECK1900,ftnBp2
pgaABCD,"pgaD,pgaC,pgaB,pgaA","DNA-binding transcriptional dual regulator OmpR-phosphorylated,NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator,DNA-binding transcriptional dual regulator Nac","ompR,nhaR,nac","b1021,b1022,b1023,b1024","ECK1011,ECK1012,ECK1013,ECK1014",pgaAp
fxsA,fxsA,DNA-binding transcriptional dual regulator Lrp,lrp,b4140,ECK4134,fxsAp
yceA,trhO,DNA-binding transcriptional dual regulator Lrp,lrp,b1055,ECK1040,yceAp
sfmHF,"sfmF,sfmH",,,"b0534,b0533","ECK0527,ECK0526",
argS,argS,DNA-binding transcriptional dual regulator Lrp,lrp,b1876,ECK1877,argSp
cdaR,cdaR,"DNA-binding transcriptional activator CdaR,DNA-binding transcriptional dual regulator Nac","cdaR,nac",b0162,ECK0161,cdaRp
tsgA,tsgA,"DNA-binding transcriptional dual regulator NsrR,DNA-binding transcriptional dual regulator OmpR-phosphorylated","nsrR,ompR",b3364,ECK3352,tsgAp
pfkB,pfkB,"DNA-binding transcriptional dual regulator SutR,DNA-binding transcriptional dual regulator Nac,ArgR-L-arginine DNA-binding transcriptional dual regulator","sutR,nac,argR",b1723,ECK1721,pfkBp2
xylFGHR,"xylF,xylG,xylH,xylR","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator XylR-&alpha;-D-xylopyranose,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","fis,xylR,crp","b3566,b3567,b3568,b3569","ECK3555,ECK3556,ECK3557,ECK3558",xylFp
ydiK,ydiK,,,b1688,ECK1685,
nemA,nemA,,,b1650,ECK1646,
emtA,emtA,,,b1193,ECK1181,
metJ,metJ,,,b3938,ECK3930,metJp3
yqiJK,"yqiK,yqiJ",,,"b3051,b3050","ECK3040,ECK3039",
pqiABC,"pqiC,pqiB,pqiA","DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator SoxS","marA,soxS","b0952,b0951,b0950","ECK0943,ECK0942,ECK0941",pqiAp3
lgt-thyA,"thyA,lgt",,,"b2827,b2828","ECK2823,ECK2824",lgtp
ybfD,ybfD,,,b0706,ECK0695,
tig,tig,,,b0436,ECK0430,
pstCAB-phoU,"phoU,pstB,pstA,pstC",DNA-binding transcriptional dual regulator Nac,nac,"b3724,b3725,b3726,b3727","ECK3717,ECK3718,ECK3719,ECK3720",pstCp2
pykF,pykF,,,b1676,ECK1672,pykFp3
pcnB-folK,"folK,pcnB",,,"b0142,b0143","ECK0141,ECK0142",pcnBp1
dnaX,dnaX,,,b0470,ECK0464,dnaXp
lit,lit,,,b1139,ECK1125,
speE,speE,,,b0121,ECK0120,speEp
rsmF,rsmF,DNA-binding transcriptional dual regulator Nac,nac,b1835,ECK1834,
gatR_2,gatR,,,b4498,ECK2083,gatR_2p
yhdP,yhdP,,,b4472,ECK3234,
gstA,gstA,,,b1635,ECK1631,gstAp
sfsA-dksA,"dksA,sfsA",CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,"b0145,b0146","ECK0144,ECK0145",sfsAp
aslA,aslA,,,b3801,ECK3794,
rseX,rseX,,,b4603,ECK4412,rseXp
ygiQ,ygiQ,,,b4469,ECK3007,
topA,topA,"DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Lrp","fis,lrp",b1274,ECK1268,topAp1
rlmE-ftsH,"ftsH,rlmE",DNA-binding transcriptional dual regulator Lrp,lrp,"b3178,b3179","ECK3167,ECK3168",rlmEp1
pykF,pykF,,,b1676,ECK1672,pykFp5
yghA,yghA,,,b3003,ECK2997,
ybeU-djlC,"djlC,ybeU",DNA-binding transcriptional dual regulator Nac,nac,"b0649,b0648","ECK0642,ECK0641",
acnB,acnB,"DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator Cra,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","arcA,fis,cra,crp",b0118,ECK0117,acnBp1
metK,metK,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor MetJ-<i>S</i>-adenosyl-L-methionine,DNA-binding transcriptional dual regulator Lrp","crp,metJ,lrp",b2942,ECK2937,metKp2
ynjH,ynjH,"DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","lrp,nac,glaR",b1760,ECK1758,ynjHp2
rtcR,rtcR,,,b3422,ECK3408,rtcRp
cyaY,cyaY,,,b3807,ECK3801,
insH-10,insH10,,,b3218,ECK0261,
torR,torR,DNA-binding transcriptional dual regulator TorR,torR,b0995,ECK0986,torRp
yeaX,yeaX,,,b1803,ECK1801,
fnrS,fnrS,DNA-binding transcriptional dual regulator FNR,fnr,b4699,ECK4511,fnrSp
murA,murA,,,b3189,ECK3178,
yajG,yajG,,,b0434,ECK0428,yajGp
rpmBG,"rpmG,rpmB",DNA-binding transcriptional dual regulator YfeC,yfeC,"b3636,b3637","ECK3626,ECK3627",rpmBp
allB,allB,,,b0512,ECK0505,allBp3
ispDF,"ispF,ispD",DNA-binding transcriptional dual regulator Nac,nac,"b2746,b2747","ECK2741,ECK2742",
borD,borD,"DNA-binding transcriptional dual regulator PhoP-phosphorylated,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","phoP,lrp,nac",b0557,ECK0549,borDp
gcd,gcd,"CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator IHF","crp,ihfA,ihfB",b0124,ECK0123,gcdp1
ynfP,ynfP,,,b4534,ECK1574,
rnk,rnk,,,b0610,ECK0603,
ygfZ,ygfZ,,,b2898,ECK2893,ygfZp
ssrS,ssrS,"DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional repressor StpA with RNA chaperone activity,DNA-binding transcriptional dual regulator Fis","hns,lrp,stpA,fis",b2911,ECK2906,ssrSp
yggSTU-rdgB-hemW,"hemW,rdgB,yggU,yggT,yggS",,,"b2955,b2954,b2953,b2952,b2951","ECK2950,ECK2949,ECK2948,ECK2947,ECK2946",
lolB-ispE-prs,"prs,ispE,lolB",,,"b1207,b1208,b1209","ECK1195,ECK1196,ECK1197",lolBp
dcm-vsr,"vsr,dcm",DNA-binding transcriptional dual regulator Nac,nac,"b1960,b1961","ECK1958,ECK1959",
norR,norR,,,b2709,ECK2704,
opgB,opgB,,,b4359,ECK4349,
ydjLKJIHG,"ydjL,ydjK,ydjJ,ydjI,ydjH,ydjG",,,"b1776,b1775,b1774,b1773,b1772,b1771","ECK1774,ECK1773,ECK1772,ECK1771,ECK1770,ECK1769",
proVWX,"proX,proW,proV",DNA-binding transcriptional dual regulator H-NS,hns,"b2679,b2678,b2677","ECK2673,ECK2672,ECK2671",proVp1
tdcR,tdcR,DNA-binding transcriptional dual regulator Nac,nac,b3119,ECK3108,
iraD,"idlP,ytiD,ytiC,iraD","DnaA-ATP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp","dnaA,lrp","b4722,b4721,b4720,b4326","ECK4579,ECK4578,ECK4577,ECK4317",iraDp1
potFGHI,"potF,potG,potH,potI","DNA-binding transcriptional dual regulator NtrC-phosphorylated,DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator ArcA-phosphorylated,ArgR-L-arginine DNA-binding transcriptional dual regulator","glnG,lrp,arcA,argR","b0854,b0855,b0856,b0857","ECK0845,ECK0846,ECK0847,ECK0848",potFp1
yaiP,yaiP,,,b0363,ECK0360,
CsiR,glaR,,,b2664,ECK2658,
garR,garR,,,b3125,ECK3113,garRp
pspF,pspF,DNA-binding transcriptional dual regulator PspF,pspF,b1303,ECK1298,pspFp1
evgAS,"evgS,evgA","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional activator EvgA-phosphorylated,DNA-binding transcriptional dual regulator Nac","hns,evgA,nac","b2370,b2369","ECK2366,ECK2365",evgAp1
rzoD,rzoD,,,b4510,ECK0548,
yntF-ydfK,"ynfT,ydfK","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR","b4748,b1544","ECK4605,ECK1537",ynfTp
oppBCDF,"oppF,oppD,oppC,oppB",DNA-binding transcriptional dual regulator Nac,nac,"b1247,b1246,b1245,b1244","ECK1241,ECK1240,ECK1239,ECK1238",oppBp
smrB,smrB,DNA-binding transcriptional dual regulator YdcI,ydcI,b2331,ECK2325,
yebC-ruvC,"ruvC,yebC",,,"b1863,b1864","ECK1864,ECK1865",yebCp
sdhE-ygfX,"sdhE,ygfX",,,"b2897,b2896","ECK2892,ECK2891",sdhEp
ydiV,rflP,"DNA-binding transcriptional dual regulator SdiA,DNA-binding transcriptional dual regulator Nac","sdiA,nac",b1707,ECK1705,ydiVp
ascFB,"ascF,ascB","CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor AscG,DNA-binding transcriptional dual regulator H-NS","crp,ascG,hns","b2715,b2716","ECK2710,ECK2711",ascFp
gltS,gltS,,,b3653,ECK3643,
topAI-yjhQ,"topAI,yjhQ",,,"b4566,b4307","ECK4298,ECK4297",
fadH,fadH,"antitoxin/DNA-binding transcriptional repressor HipB,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator ArcA-phosphorylated,DNA-binding transcriptional dual regulator FadR,DNA-binding transcriptional dual regulator PdhR","hipB,crp,arcA,fadR,pdhR",b3081,ECK3071,fadHp
yceD-rpmF,"rpmF,yceD",,,"b1089,b1088","ECK1075,ECK1074",yceDp1
mreBCD,"mreD,mreC,mreB","DNA binding transcriptional dual regulator BolA-phosphorylated,DNA-binding transcriptional dual regulator Nac","bolA,nac","b3249,b3250,b3251","ECK3237,ECK3238,ECK3239",mreBp1
ogt,ogt,"DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator Fis","narL,fis",b1335,ECK1331,ogtp
rraA,rraA,,,b3929,ECK3921,rraAp
ykgH,ykgH,DNA-binding transcriptional dual regulator Nac,nac,b0310,ECK0308,
ycgR,ycgR,FlhDC DNA-binding transcriptional dual regulator,"flhD,flhC",b1194,ECK1182,ycgRp
ymdAB-clsC,"clsC,ymdB,ymdA",FlhDC DNA-binding transcriptional dual regulator,"flhD,flhC","b1046,b1045,b1044","ECK1032,ECK1031,ECK1030",ymdAp
rhsD-ybbC-ylbH-ybbD,"ybbD,ylbH,ybbC,rhsD","DNA-binding transcriptional dual regulator Nac,DNA-binding transcriptional repressor GlaR","nac,glaR","b0501,b0499,b0498,b0497","ECK0494,ECK0493,ECK0492,ECK0491",
prpR,prpR,"DNA-binding transcriptional dual regulator PhoB-phosphorylated,DNA-binding transcriptional repressor AscG,DNA-binding transcriptional dual regulator PrpR-(2<i>S</i>,3<i>S</i>)-2-methylcitrate,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","phoB,ascG,prpR,crp",b0330,ECK0328,prpRp
infB,infB,,,b3168,ECK3157,infBp
lsrK,lsrK,,,b1511,ECK1504,
talA-tktB,"tktB,talA",,,"b2465,b2464","ECK2460,ECK2459",talAp2
yecH,yecH,,,b1906,ECK1905,
ydhR,ydhR,,,b1667,ECK1663,
ygeR,actS,,,b2865,ECK2861,
dacB,dacB,,,b3182,ECK3171,
kbl-tdh,"tdh,kbl","DNA-binding transcriptional dual regulator Lrp,DNA-binding transcriptional dual regulator Nac","lrp,nac","b3616,b3617","ECK3606,ECK3607",kblp
mdaB,mdaB,"DNA-binding transcriptional dual regulator SoxS,DNA-binding transcriptional dual regulator Rob,DNA-binding transcriptional dual regulator MarA","soxS,rob,marA",b3028,ECK3019,
lptFG,"lptG,lptF",,,"b4262,b4261","ECK4255,ECK4254",
hisLGDCBHAFI,"hisL,hisG,hisD,hisC,hisB,hisH,hisA,hisF,hisI",ArgR-L-arginine DNA-binding transcriptional dual regulator,argR,"b2018,b2019,b2020,b2021,b2022,b2023,b2024,b2025,b2026","ECK2013,ECK2014,ECK2015,ECK2016,ECK2017,ECK2018,ECK2019,ECK2020,ECK2021",hisLp
xthA,xthA,"DNA-binding transcriptional dual regulator OxyR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","oxyR,arcA",b1749,ECK1747,xthAp
yncJ,yncJ,,,b1436,ECK1430,
mdtEF,"mdtF,mdtE","DNA-binding transcriptional dual regulator YeiE,DNA-binding transcriptional dual regulator TorR-phosphorylated,DNA-binding transcriptional dual regulator Nac","yeiE,torR,nac","b3514,b3513","ECK3498,ECK3497",mdtEp2
clsA-yciU,"yciU,clsA",DNA-binding transcriptional repressor GlaR,glaR,"b1248,b1249","ECK1242,ECK1243",clsAp
rrsG-gltW-rrlG-rrfG,"rrfG,rrlG,gltW,rrsG","DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp-L-leucine,DNA-binding transcriptional dual regulator Fis","hns,lrp,fis","b2588,b2589,b2590,b2591","ECK2586,ECK2587,ECK2588,ECK2589",rrsGp1
pgk,pgk,,,b2926,ECK2922,pgkp2
yagML,"yagM,yagL",,,"b0279,b0278","ECK0278,ECK0277",
pdeB,pdeB,,,b0457,ECK0451,
lgt,lgt,,,b2828,ECK2824,lgtp
nanY,nanY,,,b4280,ECK4270,nanYp2
rpoBC,"rpoC,rpoB",,,"b3988,b3987","ECK3979,ECK3978",rpoBp
rpsT,rpsT,,,b0023,ECK0024,rpsTp2
pptA,pptA,,,b1461,ECK1455,
ybjG,ybjG,DNA-binding transcriptional dual regulator PhoP-phosphorylated,phoP,b0841,ECK0831,ybjGp
ydcI,ydcI,DNA-binding transcriptional dual regulator Nac,nac,b1422,ECK1416,ydcIp
ynfM,ynfM,,,b1596,ECK1591,ynfMp
kduD,kduD,,,b2842,ECK2840,
ygiZ,ygiZ,"RcsB-BglJ DNA-binding transcriptional activator,DNA-binding transcriptional dual regulator Nac","bglJ,rcsB,nac",b3027,ECK3018,ygiZp
rhaT,rhaT,"DNA-binding transcriptional activator RhaS,DNA-binding transcriptional dual regulator ArcA-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,RhaS-L-rhamnose DNA-binding transcriptional activator","rhaS,arcA,crp",b3907,ECK3900,rhaTp
yghQ,yghQ,,,b2983,ECK2977,
ytfF,ytfF,,,b4210,ECK4206,
exbBD,"exbD,exbB","Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp","fur,lrp","b3005,b3006","ECK2998,ECK2999",exbBp
hupB,hupB,,,b0440,ECK0434,hupBp1
yjjW,yjjW,,,b4379,ECK4371,
artPIQM,"artM,artQ,artI,artP",DNA-binding transcriptional dual regulator Lrp,lrp,"b0861,b0862,b0863,b0864","ECK0852,ECK0853,ECK0854,ECK0855",artPp1
zraSR,"zraR,zraS","DNA-binding transcriptional activator ZraR-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional repressor GlaR","zraR,crp,glaR","b4004,b4003","ECK3996,ECK3995",zraSp
srkA-dsbA,"dsbA,srkA","DNA-binding transcriptional dual regulator CpxR-phosphorylated,DNA-binding transcriptional dual regulator Nac","cpxR,nac","b3860,b3859","ECK3852,ECK3851",srkAp
htpG,htpG,DNA-binding transcriptional dual regulator Nac,nac,b0473,ECK0467,htpGp3
yafNOP,"yafP,yafO,yafN","DNA-binding transcriptional repressor LexA,DNA-binding transcriptional dual regulator Nac","lexA,nac","b0234,b0233,b0232","ECK0235,ECK0234,ECK0233",yafNp
sbcDC,"sbcD,sbcC","DNA-binding transcriptional dual regulator PhoB-phosphorylated,DNA-binding transcriptional dual regulator Nac","phoB,nac","b0398,b0397","ECK0392,ECK0391",sbcDp
galK,galK,,,b0757,ECK0746,galKp
kch,kch,,,b1250,ECK1244,
cstA,cstA,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,crp,b0598,ECK0591,cstAp1
fhuF,fhuF,"DNA-binding transcriptional dual regulator OxyR,Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Nac","oxyR,fur,nac",b4367,ECK4357,fhuFp1
yncK,yncK,,,b4578,ECK1425,
hokD,hokD,,,b1562,ECK1556,
yceF,yceF,,,b1087,ECK1072,
yfiE,yfiE,,,b2577,ECK2575,
syd,syd,,,b2793,ECK2788,
ygfI,srsR,DNA-binding transcriptional dual regulator Nac,nac,b2921,ECK2917,
glyA,glyA,"DNA-binding transcriptional repressor PurR-hypoxanthine,MetR-L-homocysteine","purR,metR",b2551,ECK2548,glyAp
chaBC,"chaB,chaC",DNA-binding transcriptional repressor GlaR,glaR,"b1217,b1218","ECK1211,ECK1212",
yjeJ,yjeJ,DNA-binding transcriptional dual regulator Nac,nac,b4145,ECK4139,
rpnD,rpnD,,,b4584,ECK4329,
paaZ,paaZ,"DNA-binding transcriptional repressor PaaX,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator IHF","paaX,crp,ihfA,ihfB",b1387,ECK1384,paaZp
xylAB,"xylB,xylA","AraC-&alpha;-L-arabinopyranose DNA-binding transcriptional activator,DNA-binding transcriptional dual regulator XylR-&alpha;-D-xylopyranose,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","araC,xylR,crp","b3564,b3565","ECK3553,ECK3554",xylAp
eno,eno,DNA-binding transcriptional dual regulator Lrp,lrp,b2779,ECK2773,enop6
citCDEFXG,"citG,citX,citF,citE,citD,citC","DNA-binding transcriptional dual regulator FNR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator DpiA-phosphorylated","fnr,crp,narL,dpiA","b0613,b0614,b0615,b0616,b0617,b0618","ECK0606,ECK0607,ECK0608,ECK0609,ECK0610,ECK0611",citCp2
rnlB,rnlB,DNA-binding transcriptional dual regulator Nac,nac,b2631,ECK2627,rnlBp1
yahL,yahL,,,b0326,ECK0324,
rcsF-trmO,"rcsF,trmO",,,"b0196,b0195","ECK0196,ECK0195",
yihUTS,"yihS,yihT,yihU",,,"b3880,b3881,b3882","ECK3873,ECK3874,ECK3875",yihUp3
bglG,bglG,"RcsB-BglJ DNA-binding transcriptional activator,CRP-cyclic-AMP DNA-binding transcriptional dual regulator","bglJ,rcsB,crp",b3723,ECK3716,bglGp2
ves,ves,,,b1742,ECK1740,vesp
glnHPQ,"glnQ,glnP,glnH","DNA-binding transcriptional activator ZraR-phosphorylated,DNA-binding transcriptional dual regulator Lrp","zraR,lrp","b0809,b0810,b0811","ECK0798,ECK0799,ECK0800",glnHp1
yneK,yneK,DNA-binding transcriptional dual regulator Nac,nac,b1527,ECK1520,
insC2D2CD2,"insC2,insD2,insCD2",,,"b1403,b1402","ECK0357,ECK0358",
yegJ,yegJ,,,b2071,ECK2065,
ytfH,ytfH,,,b4212,ECK4208,
mocA,mocA,,,b2877,ECK2873,
pphB,pphB,DNA-binding transcriptional dual regulator Nac,nac,b2734,ECK2729,
acrAB,"acrA,acrB","DNA-binding transcriptional repressor MprA,DNA-binding transcriptional repressor EnvR,DNA-binding transcriptional repressor AcrR,DNA-binding transcriptional dual regulator PhoP-phosphorylated,DNA-binding transcriptional dual regulator MarA,DNA-binding transcriptional dual regulator SoxS,DNA-binding transcriptional dual regulator Rob","mprA,envR,acrR,phoP,marA,soxS,rob","b0463,b0462","ECK0457,ECK0456",acrAp
dps,dps,"MntR-Mn<sup>2+</sup> DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator OxyR,DNA-binding transcriptional dual regulator IHF,ArgR-L-arginine DNA-binding transcriptional dual regulator","mntR,hns,fis,oxyR,ihfA,ihfB,argR",b0812,ECK0801,dpsp
insMI3,"insM,insI3",,,"b4561,b4284","ECK4273,ECK0258",
yjcE,yjcE,,,b4065,ECK4058,
hlyE,hlyE,"DNA-binding transcriptional dual regulator Fis,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator SlyA,DNA-binding transcriptional dual regulator H-NS,DNA-binding transcriptional dual regulator Lrp","fis,crp,fnr,slyA,hns,lrp",b1182,ECK1170,hlyEp
arcA,arcA,"DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional dual regulator ArcA-phosphorylated","fnr,arcA",b4401,ECK4393,arcAp2
sibE,sibE,DNA-binding transcriptional dual regulator Nac,nac,b4611,ECK4420,sibEp
flu,flu,,,b2000,ECK1993,flup1
dnaN-recF,"recF,dnaN",,,"b3700,b3701","ECK3692,ECK3693",dnaNp3
yecR,yecR,"FlhDC DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR","flhD,flhC,fnr",b1904,ECK1903,yecRp
ecpR,matA,DNA-binding transcriptional dual regulator MatA,matA,b0294,ECK0293,ecpRp
hrpB,hrpB,,,b0148,ECK0147,
rpoE-rseABC,"rseD,rseC,rseB,rseA,rpoE","DNA-binding transcriptional activator GlrR-phosphorylated,DNA-binding transcriptional dual regulator RcsB-phosphorylated,DNA-binding transcriptional dual regulator NtrC-phosphorylated,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp","glrR,rcsB,glnG,crp,lrp","b4725,b2570,b2571,b2572,b2573","ECK4582,ECK2568,ECK2569,ECK2570,ECK2571",rpoEp2b
ydcSTUV-patD,"patD,ydcV,ydcU,ydcT,ydcS","DNA-binding transcriptional dual regulator YeiE,DNA-binding transcriptional dual regulator Nac","yeiE,nac","b1444,b1443,b1442,b1441,b1440","ECK1438,ECK1437,ECK1436,ECK1435,ECK1434",ydcSp1
rirA-rfaQGPSBIJYZ-waaU,"rirA,waaU,waaZ,waaY,waaJ,waaO,waaB,waaS,waaP,waaG,waaQ",DNA-binding transcriptional dual regulator Nac,nac,"b4760,b3623,b3624,b3625,b3626,b3627,b3628,b3629,b3630,b3631,b3632","ECK4617,ECK3613,ECK3614,ECK3615,ECK3616,ECK3617,ECK3618,ECK3619,ECK3620,ECK3621,ECK3622",rirAp
agaR,agaR,DNA-binding transcriptional repressor AgaR,agaR,b3131,ECK3119,agaRp
pqqL,pqqL,,,b1494,ECK1488,
kilR-ydaE,"kilR,ydaE",,,"b1352,b4526","ECK1350,ECK1349",
ydgJ,ydgJ,,,b1624,ECK1619,
yobH,yobH,,,b4536,ECK1825,
ygeH,ygeH,CysB-<i>O</i>-acetyl-L-serine DNA-binding transcriptional dual regulator,cysB,b2852,ECK2850,ygeHp10
pinH,pinH,,,b2648,ECK2645,
glpTQ,"glpQ,glpT","DNA-binding transcriptional dual regulator Fis,DNA-binding transcriptional dual regulator IHF,DNA-binding transcriptional repressor GlpR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator FNR,DNA-binding transcriptional repressor PlaR","fis,ihfA,ihfB,glpR,crp,fnr,plaR","b2239,b2240","ECK2231,ECK2232",glpTQp
aspA,aspA,"DNA-binding transcriptional activator DcuR-phosphorylated,DNA-binding transcriptional dual regulator NarL-phosphorylated,DNA-binding transcriptional dual regulator FNR,CRP-cyclic-AMP DNA-binding transcriptional dual regulator,DNA-binding transcriptional dual regulator Lrp","dcuR,narL,fnr,crp,lrp",b4139,ECK4133,aspAp
cybC,cybC,,,b4236,ECK4231,
arpA,arpA,,,b4017,ECK4009,
cfa,cfa,DNA-binding transcriptional dual regulator Nac,nac,b1661,ECK1657,cfap2
